2,arabidopsis,5leaderP
53,arabidopsis,CAGE
212,arabidopsis,CAGE
30,arabidopsis,CAGE
201,arabidopsis,CAGE
35,arabidopsis,CAGE
180,arabidopsis,CAGE
79,arabidopsis,CAGE
118,arabidopsis,CAGE
67,arabidopsis,5leaderP
106,arabidopsis,CAGE
70,arabidopsis,5leaderP
59,arabidopsis,5leaderP
149,arabidopsis,5leaderP
46,arabidopsis,5leaderP
104,arabidopsis,5leaderP
95,arabidopsis,5leaderP
111,arabidopsis,CAGE
73,arabidopsis,CAGE
118,arabidopsis,5leaderP
206,arabidopsis,CAGE
173,arabidopsis,CAGE
41,arabidopsis,5leaderP
92,arabidopsis,CAGE
