recall,precision,ModelType
0.08208208208208208,0.9812955026869972,LR
0.08308308308308308,0.9815166925796978,LR
0.08408408408408408,0.981732712462634,LR
0.08508508508508508,0.9819437401878572,LR
0.08608608608608609,0.9818803097863705,LR
0.08708708708708708,0.9820848511499493,LR
0.08808808808808809,0.9812313296460805,LR
0.0890890890890891,0.9814382993191072,LR
0.09009009009009009,0.981126104424623,LR
0.09109109109109109,0.9813296374509107,LR
0.0920920920920921,0.981277087105883,LR
0.09309309309309309,0.9814746789469766,LR
0.0940940940940941,0.9811753560941027,LR
0.09509509509509509,0.9813698185045298,LR
0.0960960960960961,0.980595936896166,LR
0.0970970970970971,0.9807921365522373,LR
0.0980980980980981,0.980748338205812,LR
0.0990990990990991,0.9807054288452625,LR
0.10010010010010009,0.9806633802368281,LR
0.1011011011011011,0.980851166588682,LR
0.1021021021021021,0.9808085021919354,LR
0.1031031031031031,0.9803177464685919,LR
0.1041041041041041,0.9805033093536677,LR
0.10510510510510511,0.9806854055039506,LR
0.1061061061061061,0.9804278217744056,LR
0.10710710710710711,0.9801751840790889,LR
0.10810810810810811,0.9803551410763025,LR
0.1091091091091091,0.9803198050083733,LR
0.11011011011011011,0.9802851135636043,LR
0.1111111111111111,0.9802510498861029,LR
0.11211211211211211,0.9804239278550062,LR
0.11311311311311312,0.9799803316846109,LR
0.11411411411411411,0.9799498574775581,LR
0.11511511511511512,0.9797191716011197,LR
0.11611611611611611,0.9798904906626368,LR
0.11711711711711711,0.9798615707886362,LR
0.11811811811811812,0.9798331429520688,LR
0.11911911911911911,0.9794173679643413,LR
0.12012012012012012,0.9793931391085464,LR
0.12112112112112113,0.9795599628808717,LR
0.12212212212212212,0.9797241069508495,LR
0.12312312312312312,0.9796979597506754,LR
0.12412412412412413,0.9796722355048041,LR
0.12512512512512514,0.9794623402030987,LR
0.12612612612612611,0.9794389060437566,LR
0.12712712712712712,0.9795975011729151,LR
0.12812812812812813,0.9792129740174661,LR
0.12912912912912913,0.9791920287745531,LR
0.13013013013013014,0.9791714067629785,LR
0.13113113113113112,0.9789751474022326,LR
0.13213213213213212,0.9786074497515144,LR
0.13313313313313313,0.9785917096277139,LR
0.13413413413413414,0.9784043920389003,LR
0.13513513513513514,0.9785609300099544,LR
0.13613613613613612,0.9782073872211348,LR
0.13713713713713713,0.977691450642552,LR
0.13813813813813813,0.9776829404610635,LR
0.13913913913913914,0.9778399368243732,LR
0.14014014014014015,0.9775021402084415,LR
0.14114114114114115,0.9771693632476003,LR
0.14214214214214213,0.9766799347507441,LR
0.14314314314314314,0.9768392352000176,LR
0.14414414414414414,0.9766776912117344,LR
0.14514514514514515,0.9760442406416241,LR
0.14614614614614616,0.9762044166839345,LR
0.14714714714714713,0.9757391119453291,LR
0.14814814814814814,0.9754350946408964,LR
0.14914914914914915,0.9752888267911619,LR
0.15015015015015015,0.9751445523510935,LR
0.15115115115115116,0.975002230145065,LR
0.15215215215215216,0.9745612240537337,LR
0.15315315315315314,0.9744247393329343,LR
0.15415415415415415,0.9745865919516385,LR
0.15515515515515516,0.974451697563487,LR
0.15615615615615616,0.9746113106966813,LR
0.15715715715715717,0.9747689420382932,LR
0.15815815815815815,0.9747799949491005,LR
0.15915915915915915,0.974934635568822,LR
0.16016016016016016,0.9748016872111022,LR
0.16116116116116116,0.9748123315032092,LR
0.16216216216216217,0.9748228447934986,LR
0.16316316316316315,0.9748332290831475,LR
0.16416416416416416,0.9745648887585672,LR
0.16516516516516516,0.9744383057796145,LR
0.16616616616616617,0.9741757890516748,LR
0.16716716716716717,0.9737799985990979,LR
0.16816816816816815,0.973253638507676,LR
0.16916916916916916,0.9730034049162383,LR
0.17017017017017017,0.9731579457613396,LR
0.17117117117117117,0.9733107273906887,LR
0.17217217217217218,0.9729321409803838,LR
0.17317317317317318,0.9729527951943181,LR
0.17417417417417416,0.9731040581879941,LR
